Column1,Column2,Column3
-179,-90,265.536
-179,-89,218.657
-179,-88,168.896
-179,-87,115.749
-179,-86,65.37
-179,-85,54.512
-179,-84,24.46
-179,-83,59.458
-179,-82,39.653
-179,-81,50.153
-179,-80,50.593
-179,-79,56.12
-179,-78,57.879
-179,-77,61.569
-179,-76,47.028
-179,-75,47.898
-179,-74,61.393
-179,-73,25.793
-179,-72,53.291
-179,-71,45.386
-179,-70,34.443
-179,-69,41.227
-179,-68,31.188
-179,-67,45.651
-179,-66,56.229
-179,-65,55.395
-179,-64,53.606
-179,-63,69.872
-179,-62,85.337
-179,-61,104.384
-179,-60,115.424
-179,-59,94.899
-179,-58,91.472
-179,-57,75.446
-179,-56,72.183
-179,-55,76.568
-179,-54,64.606
-179,-53,57.939
-179,-52,62.333
-179,-51,68.666
-179,-50,86.286
-179,-49,97.615
-179,-48,95.381
-179,-47,96.581
-179,-46,98.896
-179,-45,73.663
-179,-44,66.793
-179,-43,71.494
-179,-42,84.237
-179,-41,106.821
-179,-40,166.678
-179,-39,198.275
-179,-38,246.294
-179,-37,248.219
-179,-36,204.192
-179,-35,201.016
-179,-34,187.582
-179,-33,172.408
-179,-32,71.585
-179,-31,29.288
-179,-30,18.833
-179,-29,23.895
-179,-28,25
-179,-27,25
-179,-26,25.68
-179,-25,26.029
-179,-24,26.371
-179,-23,32.807
-179,-22,30.686
-179,-21,30.132
-179,-20,9.866
-179,-19,25
-179,-18,25
-179,-17,25
-179,-16,25
-179,-15,25
-179,-14,25
-179,-13,35.257
-179,-12,58.864
-179,-11,203.151
-179,-10,109.433
-179,-9,126.571
-179,-8,125.068
-179,-7,120.528
-179,-6,107.14
-179,-5,112.45
-179,-4,105.089
-179,-3,115.26
-179,-2,126.57
-179,-1,104.279
-179,0,115.036
-179,1,101.115
-179,2,113.166
-179,3,118.782
-179,4,111.363
-179,5,113.9
-179,6,123.355
-179,7,128.894
-179,8,134.868
-179,9,135.825
-179,10,134.468
-179,11,125.274
-179,12,117.949
-179,13,124.072
-179,14,129.88
-179,15,146.372
-179,16,169.885
-179,17,161.69
-179,18,210.585
-179,19,209.551
-179,20,171.236
-179,21,160.854
-179,22,108.238
-179,23,106.275
-179,24,115.107
-179,25,139.316
-179,26,141.283
-179,27,137.484
-179,28,124.262
-179,29,119.074
-179,30,104.222
-179,31,96.548
-179,32,98.307
-179,33,96.984
-179,34,112.463
-179,35,115.705
-179,36,92.84
-179,37,90.651
-179,38,91.965
-179,39,97.826
-179,40,95.351
-179,41,88.53
-179,42,74.979
-179,43,89.913
-179,44,86.693
-179,45,91.176
-179,46,102.318
-179,47,93.965
-179,48,81.924
-179,49,91.673
-179,50,88.718
-179,51,113.736
-179,52,153.854
-179,53,123.987
-179,54,69.083
-179,55,63.899
-179,56,63.441
-179,57,63.981
-179,58,61.969
-179,59,55.011
-179,60,63.699
-179,61,63.722
-179,62,53.598
-179,63,50
-179,64,50
-179,65,50
-179,66,65.682
-179,67,70.192
-179,68,62.038
-179,69,70.41
-179,70,46.569
-179,71,55.115
-179,72,53.55
-179,73,55.625
-179,74,51.044
-179,75,125.308
-179,76,63.208
-179,77,135.733
-179,78,131.535
-179,79,150.959
-179,80,150.125
-179,81,123.518
-179,82,121.517
-179,83,132.212
-179,84,102.069
-179,85,105.227
-179,86,107.021
-179,87,119.086
-179,88,134.726
-179,89,103.326
-179,90,71.848
-178,-90,265.356
-178,-89,218.73
-178,-88,169.052
-178,-87,115.761
-178,-86,65.38
-178,-85,54.535
-178,-84,24.531
-178,-83,59.427
-178,-82,39.613
-178,-81,50.099
-178,-80,53.647
-178,-79,56.111
-178,-78,57.877
-178,-77,61.559
-178,-76,47.07
-178,-75,47.883
-178,-74,54.782
-178,-73,38.611
-178,-72,47.149
-178,-71,45.401
-178,-70,34.457
-178,-69,41.206
-178,-68,31.214
-178,-67,45.612
-178,-66,52.295
-178,-65,57.942
-178,-64,56.457
-178,-63,68.192
-178,-62,85.316
-178,-61,102.765
-178,-60,115.571
-178,-59,98.283
-178,-58,94.298
-178,-57,78.883
-178,-56,71.003
-178,-55,75.202
-178,-54,63.435
-178,-53,58.274
-178,-52,61.964
-178,-51,69.65
-178,-50,95.107
-178,-49,107.324
-178,-48,92.999
-178,-47,95.341
-178,-46,99.452
-178,-45,91.142
-178,-44,76.502
-178,-43,91.337
-178,-42,90.229
-178,-41,115.863
-178,-40,162.599
-178,-39,183.068
-178,-38,223.445
-178,-37,206.412
-178,-36,221.677
-178,-35,226.428
-178,-34,181.678
-178,-33,199.151
-178,-32,171.323
-178,-31,98.493
-178,-30,34.965
-178,-29,27.435
-178,-28,39.05
-178,-27,126.074
-178,-26,52.259
-178,-25,27.183
-178,-24,27.779
-178,-23,32.455
-178,-22,28.654
-178,-21,25.925
-178,-20,19.438
-178,-19,25
-178,-18,25
-178,-17,25
-178,-16,25
-178,-15,25
-178,-14,25
-178,-13,42.94
-178,-12,53.033
-178,-11,100.016
-178,-10,96.644
-178,-9,128.11
-178,-8,125.27
-178,-7,118.071
-178,-6,113.787
-178,-5,113.085
-178,-4,105.244
-178,-3,118.186
-178,-2,128.938
-178,-1,119.529
-178,0,122.758
-178,1,112.38
-178,2,123.437
-178,3,128.046
-178,4,118.42
-178,5,122.591
-178,6,128.226
-178,7,132.29
-178,8,134.32
-178,9,136.323
-178,10,138.835
-178,11,134.44
-178,12,125.821
-178,13,128.532
-178,14,143.339
-178,15,151.354
-178,16,163.706
-178,17,166.644
-178,18,180.597
-178,19,160.435
-178,20,158.595
-178,21,154.869
-178,22,105.157
-178,23,102.302
-178,24,111.068
-178,25,132.395
-178,26,149.505
-178,27,135.467
-178,28,129.49
-178,29,123.221
-178,30,106.481
-178,31,102.597
-178,32,106.968
-178,33,105.304
-178,34,97.86
-178,35,91.558
-178,36,88.752
-178,37,86.325
-178,38,87.474
-178,39,94.852
-178,40,95.667
-178,41,90.054
-178,42,84.009
-178,43,93.324
-178,44,94.056
-178,45,94.199
-178,46,96.069
-178,47,91.952
-178,48,73.346
-178,49,88.287
-178,50,57.279
-178,51,102.187
-178,52,96.51
-178,53,101.562
-178,54,67.918
-178,55,63.777
-178,56,61.382
-178,57,63.293
-178,58,56.466
-178,59,53.543
-178,60,63.918
-178,61,63.766
-178,62,53.596
-178,63,50
-178,64,50
-178,65,50
-178,66,63.971
-178,67,70.182
-178,68,62.063
-178,69,70.436
-178,70,46.613
-178,71,54.21
-178,72,53.53
-178,73,53.265
-178,74,51.059
-178,75,124.958
-178,76,87.127
-178,77,135.521
-178,78,131.408
-178,79,129.406
-178,80,160.569
-178,81,123.415
-178,82,140.876
-178,83,132.08
-178,84,102.069
-178,85,105.227
-178,86,106.98
-178,87,119.043
-178,88,134.683
-178,89,103.239
-178,90,71.848
-177,-90,265.177
-177,-89,218.804
-177,-88,169.209
-177,-87,115.774
-177,-86,65.389
-177,-85,54.558
-177,-84,33.142
-177,-83,42.931
-177,-82,44.367
-177,-81,50.144
-177,-80,53.617
-177,-79,56.105
-177,-78,57.876
-177,-77,61.551
-177,-76,47.107
-177,-75,47.87
-177,-74,54.77
-177,-73,38.581
-177,-72,47.186
-177,-71,45.416
-177,-70,34.418
-177,-69,39.969
-177,-68,31.304
-177,-67,48.342
-177,-66,51.945
-177,-65,56.103
-177,-64,52.743
-177,-63,62.041
-177,-62,89.044
-177,-61,106.949
-177,-60,120.009
-177,-59,115.379
-177,-58,113.733
-177,-57,93.016
-177,-56,66.918
-177,-55,71.158
-177,-54,60.556
-177,-53,59.207
-177,-52,61.388
-177,-51,74.683
-177,-50,111.421
-177,-49,116.645
-177,-48,91.097
-177,-47,94.566
-177,-46,99.935
-177,-45,110.329
-177,-44,98.426
-177,-43,103.552
-177,-42,91.737
-177,-41,113.539
-177,-40,142.866
-177,-39,163.446
-177,-38,183.984
-177,-37,170.187
-177,-36,205.27
-177,-35,235.803
-177,-34,215.579
-177,-33,222.876
-177,-32,220.14
-177,-31,187.762
-177,-30,158.02
-177,-29,145.878
-177,-28,145.181
-177,-27,163.211
-177,-26,155.385
-177,-25,74.841
-177,-24,54.923
-177,-23,50.746
-177,-22,24.39
-177,-21,24.931
-177,-20,27.317
-177,-19,28.011
-177,-18,25
-177,-17,25
-177,-16,25
-177,-15,25
-177,-14,25
-177,-13,42.647
-177,-12,45.545
-177,-11,82.27
-177,-10,90.572
-177,-9,125.113
-177,-8,125.902
-177,-7,115.164
-177,-6,113.609
-177,-5,101.9
-177,-4,100.441
-177,-3,112.271
-177,-2,119.761
-177,-1,121.86
-177,0,119.404
-177,1,126.505
-177,2,132.146
-177,3,133.5
-177,4,125.034
-177,5,127.123
-177,6,130.943
-177,7,131.982
-177,8,133.893
-177,9,136.32
-177,10,143.064
-177,11,143.438
-177,12,137.63
-177,13,129.985
-177,14,141.8
-177,15,173.394
-177,16,162.533
-177,17,196.679
-177,18,183.242
-177,19,196.227
-177,20,159.88
-177,21,115.755
-177,22,100.613
-177,23,100.042
-177,24,105.835
-177,25,122.288
-177,26,148.901
-177,27,140.61
-177,28,136.027
-177,29,126.745
-177,30,112.379
-177,31,113.109
-177,32,117.673
-177,33,115.587
-177,34,108.714
-177,35,101.344
-177,36,95.45
-177,37,92.841
-177,38,92.465
-177,39,97.873
-177,40,100.414
-177,41,97.918
-177,42,92.271
-177,43,87.136
-177,44,95.487
-177,45,95.374
-177,46,96.387
-177,47,90.181
-177,48,71.257
-177,49,71.338
-177,50,31.332
-177,51,78.084
-177,52,39.553
-177,53,63.35
-177,54,58.702
-177,55,59.378
-177,56,57.134
-177,57,59.221
-177,58,44.958
-177,59,45.167
-177,60,64.466
-177,61,63.962
-177,62,53.437
-177,63,50
-177,64,50
-177,65,50
-177,66,60.568
-177,67,71.864
-177,68,65.729
-177,69,67.362
-177,70,46.962
-177,71,49.924
-177,72,53.509
-177,73,53.339
-177,74,51.074
-177,75,124.607
-177,76,86.811
-177,77,135.308
-177,78,124.639
-177,79,129.385
-177,80,160.401
-177,81,125.243
-177,82,140.756
-177,83,125.875
-177,84,113.068
-177,85,124.431
-177,86,106.938
-177,87,119
-177,88,134.64
-177,89,103.152
-177,90,71.848
-176,-90,264.997
-176,-89,218.877
-176,-88,169.365
-176,-87,115.786
-176,-86,75.552
-176,-85,54.655
-176,-84,33.186
-176,-83,42.955
-176,-82,44.311
-176,-81,50.09
-176,-80,53.588
-176,-79,56.098
-176,-78,57.874
-176,-77,61.543
-176,-76,47.143
-176,-75,49.173
-176,-74,56.443
-176,-73,42.653
-176,-72,52.37
-176,-71,45.389
-176,-70,34.167
-176,-69,36.167
-176,-68,34.45
-176,-67,50
-176,-66,50.866
-176,-65,51.617
-176,-64,48.059
-176,-63,60.448
-176,-62,93.129
-176,-61,110.838
-176,-60,125.147
-176,-59,127.39
-176,-58,128.409
-176,-57,104.027
-176,-56,69.009
-176,-55,67.346
-176,-54,60.677
-176,-53,60.861
-176,-52,63.667
-176,-51,69.764
-176,-50,88.181
-176,-49,97.752
-176,-48,93.967
-176,-47,90.487
-176,-46,86.727
-176,-45,90.551
-176,-44,115.929
-176,-43,111.869
-176,-42,85.549
-176,-41,99.259
-176,-40,120.425
-176,-39,144.678
-176,-38,156.189
-176,-37,148.873
-176,-36,148.636
-176,-35,187.98
-176,-34,235.655
-176,-33,222.747
-176,-32,218.258
-176,-31,243.792
-176,-30,237.905
-176,-29,222.16
-176,-28,134.597
-176,-27,147.679
-176,-26,158.405
-176,-25,169.878
-176,-24,194.043
-176,-23,170.204
-176,-22,60.099
-176,-21,24.607
-176,-20,56.909
-176,-19,30.246
-176,-18,26.325
-176,-17,25.467
-176,-16,25
-176,-15,25
-176,-14,27.592
-176,-13,42.861
-176,-12,47.563
-176,-11,68.716
-176,-10,85.714
-176,-9,121.981
-176,-8,123.788
-176,-7,112.81
-176,-6,89.458
-176,-5,89.777
-176,-4,84.16
-176,-3,83.482
-176,-2,104.248
-176,-1,116.852
-176,0,110.976
-176,1,131.959
-176,2,137.373
-176,3,138.219
-176,4,128.275
-176,5,122.628
-176,6,127.824
-176,7,123.82
-176,8,130.349
-176,9,140.379
-176,10,147.969
-176,11,173.284
-176,12,157.448
-176,13,137.298
-176,14,132.588
-176,15,137.033
-176,16,138.235
-176,17,176.994
-176,18,186.089
-176,19,168.058
-176,20,142.906
-176,21,108.682
-176,22,102.938
